Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,Label
67,6,2.829370582869225,41,24,17,0,0,0,0,1,0,0,2,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,194,77,1672,874.5,27.735049387806743,547,0.008403347068676119,11,1.2324211385453745,1.3781625196021736,0.359507900573786,1.3937420227815012,0.7710146223317142,Benign
54,17,1.1287008932134421,764,211,553,0,0,0,0,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6525,68,1494,781.0,94.27969497446816,7547,0.0033241024529662233,6,1.9701701457081786,0.6463721435191185,0.41426299451466997,0.12962626466917682,0.7886637335695297,Benign
43,17,1.1941733832886614,162,88,74,1,0,0,0,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1551,64,1735,899.5,44.602254925629474,5890,0.003530201321290895,13,1.3124124671152906,1.9766390364837128,0.8817353618548528,1.0498209863347467,2.75595971867016,Benign
69,47,0.985240213765493,2623,1478,1145,0,0,0,0,1,0,0,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22641,66,1765,915.5,29.162964208059037,85802,0.006042990762968419,12,0.7755481895084939,0.32566733934262393,0.19999652489640007,0.5159152791371756,0.5833480750727629,Benign
53,17,1.270286523438875,491,107,384,0,0,0,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2160,68,1539,803.5,35.85186999356521,6079,0.007691198063343582,7,0.16601998364317683,2.1159384541230786,0.38346389417189797,1.0940148961761509,3.330418296160169,Benign
63,1,1.7852459178540367,210,65,145,1,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1187,68,1363,715.5,87.86966558621171,2057,0.0015647576664853111,10,2.00833488644518,1.3923080556558747,0.08342243544201855,0.6208174032774705,2.9848661146508295,Benign
56,6,0.14093123363611043,1211,446,765,0,0,0,1,1,0,0,9,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3655,70,1531,800.5,56.96543108600827,8525,0.0008457948914158146,9,0.18570778597492343,1.4160500462614256,0.07952208258675575,0.631980154477896,1.6041524443378015,Benign
53,6,2.1614370171123967,481,306,175,0,0,0,0,0,0,0,5,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3943,64,1337,700.5,70.92118472403344,19075,0.010372451034370936,10,1.606143856498015,0.15477552740695177,0.1288605654663202,0.9709171690872269,2.2670405444619246,Benign
39,47,3.596739292038979,361,229,132,0,1,0,0,0,0,0,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3119,74,1233,653.5,9.598474826073343,3322,0.0020485226801855603,9,0.7994476604973413,2.0777438059762625,0.32670088176826007,0.7898993980106894,0.6488356616397752,Benign
46,6,0.5792899983685733,358,125,233,0,0,0,0,0,0,0,6,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1694,74,1409,741.5,29.36487166913953,7216,0.042330156072297544,7,0.821116104641181,0.6353064556083146,0.7307090991274762,0.5783519276361819,4.467740955502279,Benign
